freq_hz,dbm_tx_on,dbm_tx_off
1.949128919860627130e+07,-9.928125000000000000e+01,-9.978125000000000000e+01
1.959233449477351829e+07,-9.978125000000000000e+01,-1.022811999999999983e+02
1.969337979094076902e+07,-1.012811999999999983e+02,-9.928125000000000000e+01
1.979442508710801601e+07,-1.007811999999999983e+02,-9.928125000000000000e+01
1.989547038327526301e+07,-9.978125000000000000e+01,-9.928125000000000000e+01
1.999651567944251001e+07,-9.828125000000000000e+01,-1.018125000000000000e+02
2.009756097560975701e+07,-9.828125000000000000e+01,-1.008125000000000000e+02
2.019860627177700400e+07,-1.018125000000000000e+02,-9.681250000000000000e+01
2.029965156794425100e+07,-9.881250000000000000e+01,-1.018125000000000000e+02
2.040069686411149800e+07,-9.881250000000000000e+01,-1.013125000000000000e+02
2.050174216027874500e+07,-9.631250000000000000e+01,-1.003125000000000000e+02
2.060278745644599199e+07,-9.781250000000000000e+01,-9.881250000000000000e+01
2.070383275261324272e+07,-9.931250000000000000e+01,-9.381250000000000000e+01
2.080487804878048971e+07,-9.281250000000000000e+01,-9.481250000000000000e+01
2.090592334494773671e+07,-9.081250000000000000e+01,-9.928125000000000000e+01
2.100696864111498371e+07,-9.431250000000000000e+01,-9.878125000000000000e+01
2.110801393728223071e+07,-9.928125000000000000e+01,-1.022811999999999983e+02
2.120905923344947770e+07,-9.828125000000000000e+01,-1.022811999999999983e+02
2.131010452961672470e+07,-9.878125000000000000e+01,-9.928125000000000000e+01
2.141114982578397170e+07,-9.978125000000000000e+01,-9.878125000000000000e+01
2.151219512195121869e+07,-9.928125000000000000e+01,-9.778125000000000000e+01
2.161324041811846942e+07,-9.578125000000000000e+01,-9.928125000000000000e+01
2.171428571428571641e+07,-9.628125000000000000e+01,-9.828125000000000000e+01
2.181533101045296341e+07,-9.828125000000000000e+01,-1.012500000000000000e+02
2.191637630662021041e+07,-1.007811999999999983e+02,-1.017500000000000000e+02
2.201742160278745741e+07,-9.775000000000000000e+01,-1.012500000000000000e+02
2.211846689895470440e+07,-1.012500000000000000e+02,-1.022500000000000000e+02
2.221951219512195140e+07,-9.875000000000000000e+01,-1.007498999999999967e+02
2.232055749128919840e+07,-9.975000000000000000e+01,-1.007498999999999967e+02
2.242160278745644540e+07,-9.875000000000000000e+01,-9.975000000000000000e+01
2.252264808362369239e+07,-9.975000000000000000e+01,-1.002500000000000000e+02
2.262369337979094312e+07,-1.002500000000000000e+02,-9.875000000000000000e+01
2.272473867595819011e+07,-9.875000000000000000e+01,-1.002186999999999983e+02
2.282578397212543711e+07,-9.925000000000000000e+01,-1.012186999999999983e+02
2.292682926829268411e+07,-1.017186999999999983e+02,-1.007186999999999983e+02
2.302787456445993111e+07,-9.921875000000000000e+01,-9.821875000000000000e+01
2.312891986062717810e+07,-9.921875000000000000e+01,-9.921875000000000000e+01
2.322996515679442510e+07,-9.871875000000000000e+01,-9.871875000000000000e+01
2.333101045296167210e+07,-9.671875000000000000e+01,-1.012186999999999983e+02
2.343205574912891909e+07,-9.921875000000000000e+01,-9.621875000000000000e+01
2.353310104529616982e+07,-9.771875000000000000e+01,-1.007186999999999983e+02
2.363414634146341681e+07,-9.871875000000000000e+01,-1.001875000000000000e+02
2.373519163763066381e+07,-1.002186999999999983e+02,-1.021875000000000000e+02
2.383623693379791081e+07,-9.868750000000000000e+01,-9.818750000000000000e+01
2.393728222996515781e+07,-1.006875000000000000e+02,-1.006875000000000000e+02
2.403832752613240480e+07,-9.918750000000000000e+01,-1.001875000000000000e+02
2.413937282229965180e+07,-9.818750000000000000e+01,-1.021875000000000000e+02
2.424041811846689880e+07,-9.668750000000000000e+01,-9.818750000000000000e+01
2.434146341463414580e+07,-9.718750000000000000e+01,-1.006875000000000000e+02
2.444250871080139279e+07,-1.006875000000000000e+02,-1.001875000000000000e+02
2.454355400696864352e+07,-9.918750000000000000e+01,-9.965625000000000000e+01
2.464459930313589051e+07,-9.715625000000000000e+01,-1.026561999999999983e+02
2.474564459930313751e+07,-9.865625000000000000e+01,-1.021561999999999983e+02
2.484668989547038451e+07,-9.965625000000000000e+01,-9.865625000000000000e+01
2.494773519163763151e+07,-9.715625000000000000e+01,-9.815625000000000000e+01
2.504878048780487850e+07,-9.915625000000000000e+01,-1.006561999999999983e+02
2.514982578397212550e+07,-9.915625000000000000e+01,-1.031561999999999983e+02
2.525087108013937250e+07,-9.865625000000000000e+01,-9.965625000000000000e+01
2.535191637630661950e+07,-9.765625000000000000e+01,-9.915625000000000000e+01
2.545296167247387022e+07,-1.006561999999999983e+02,-1.006250000000000000e+02
2.555400696864111722e+07,-1.006561999999999983e+02,-9.712500000000000000e+01
2.565505226480836421e+07,-9.962500000000000000e+01,-1.036250000000000000e+02
2.575609756097561121e+07,-9.712500000000000000e+01,-1.011250000000000000e+02
2.585714285714285821e+07,-9.862500000000000000e+01,-1.011250000000000000e+02
2.595818815331010520e+07,-9.812500000000000000e+01,-1.006250000000000000e+02
2.605923344947735220e+07,-9.962500000000000000e+01,-9.912500000000000000e+01
2.616027874564459920e+07,-9.962500000000000000e+01,-9.762500000000000000e+01
2.626132404181184620e+07,-9.862500000000000000e+01,-9.962500000000000000e+01
2.636236933797909319e+07,-9.912500000000000000e+01,-9.712500000000000000e+01
2.646341463414634392e+07,-9.412500000000000000e+01,-9.909375000000000000e+01
2.656445993031359091e+07,-9.409375000000000000e+01,-1.000936999999999983e+02
2.666550522648083791e+07,-9.459375000000000000e+01,-9.709375000000000000e+01
2.676655052264808491e+07,-9.959375000000000000e+01,-1.005936999999999983e+02
2.686759581881533191e+07,-1.005936999999999983e+02,-1.015936999999999983e+02
2.696864111498257890e+07,-9.909375000000000000e+01,-1.020936999999999983e+02
2.706968641114982590e+07,-9.809375000000000000e+01,-9.859375000000000000e+01
2.717073170731707290e+07,-9.759375000000000000e+01,-1.005936999999999983e+02
2.727177700348431990e+07,-9.709375000000000000e+01,-1.030625000000000000e+02
2.737282229965157062e+07,-1.005625000000000000e+02,-9.956250000000000000e+01
2.747386759581881762e+07,-9.656250000000000000e+01,-9.956250000000000000e+01
2.757491289198606461e+07,-9.606250000000000000e+01,-1.005625000000000000e+02
2.767595818815331161e+07,-1.025625000000000000e+02,-1.010625000000000000e+02
2.777700348432055861e+07,-9.806250000000000000e+01,-1.015625000000000000e+02
2.787804878048780560e+07,-9.956250000000000000e+01,-9.806250000000000000e+01
2.797909407665505260e+07,-9.806250000000000000e+01,-9.856250000000000000e+01
2.808013937282229960e+07,-9.906250000000000000e+01,-9.806250000000000000e+01
2.818118466898954660e+07,-9.806250000000000000e+01,-1.000625000000000000e+02
2.828222996515679359e+07,-9.903125000000000000e+01,-9.853125000000000000e+01
2.838327526132404432e+07,-9.903125000000000000e+01,-9.903125000000000000e+01
2.848432055749129131e+07,-9.753125000000000000e+01,-9.953125000000000000e+01
2.858536585365853831e+07,-9.753125000000000000e+01,-1.015311999999999983e+02
2.868641114982578531e+07,-9.903125000000000000e+01,-9.753125000000000000e+01
2.878745644599303231e+07,-9.853125000000000000e+01,-1.005311999999999983e+02
2.888850174216027930e+07,-9.653125000000000000e+01,-1.010311999999999983e+02
2.898954703832752630e+07,-9.953125000000000000e+01,-1.005311999999999983e+02
2.909059233449477330e+07,-9.903125000000000000e+01,-9.453125000000000000e+01
2.919163763066202030e+07,-9.953125000000000000e+01,-1.005000000000000000e+02
2.929268292682927102e+07,-1.005000000000000000e+02,-9.850000000000000000e+01
2.939372822299651802e+07,-9.750000000000000000e+01,-9.850000000000000000e+01
2.949477351916376501e+07,-9.950000000000000000e+01,-9.850000000000000000e+01
2.959581881533101201e+07,-9.900000000000000000e+01,-9.950000000000000000e+01
2.969686411149825901e+07,-9.800000000000000000e+01,-1.029998999999999967e+02
2.979790940766550601e+07,-9.850000000000000000e+01,-9.900000000000000000e+01
2.989895470383275300e+07,-9.900000000000000000e+01,-9.750000000000000000e+01
3.000000000000000000e+07,-9.146875000000000000e+01,-9.746875000000000000e+01
