freq_hz,dbm_tx_on,dbm_tx_off
6.963979000000000000e+06,-9.115625000000000000e+01,-1.061561999999999983e+02
6.964221000000000000e+06,-9.262500000000000000e+01,-1.081561999999999983e+02
6.964464000000000000e+06,-8.912500000000000000e+01,-1.106561999999999983e+02
6.964706000000000000e+06,-9.312500000000000000e+01,-1.051561999999999983e+02
6.964948000000000000e+06,-9.462500000000000000e+01,-1.141561999999999983e+02
6.965190000000000000e+06,-9.362500000000000000e+01,-1.076561999999999983e+02
6.965433000000000000e+06,-9.312500000000000000e+01,-1.071561999999999983e+02
6.965675000000000000e+06,-9.012500000000000000e+01,-1.051561999999999983e+02
6.965917000000000000e+06,-9.062500000000000000e+01,-1.186561999999999983e+02
6.966159000000000000e+06,-8.962500000000000000e+01,-1.146561999999999983e+02
6.966401000000000000e+06,-9.062500000000000000e+01,-1.101561999999999983e+02
6.966644000000000000e+06,-8.812500000000000000e+01,-1.061561999999999983e+02
6.966886000000000000e+06,-9.562500000000000000e+01,-1.101561999999999983e+02
6.967128000000000000e+06,-9.062500000000000000e+01,-1.051561999999999983e+02
6.967370000000000000e+06,-9.215625000000000000e+01,-1.081561999999999983e+02
6.967612000000000000e+06,-9.415625000000000000e+01,-1.071561999999999983e+02
6.967855000000000000e+06,-8.562500000000000000e+01,-1.131561999999999983e+02
6.968097000000000000e+06,-9.065625000000000000e+01,-1.096561999999999983e+02
6.968339000000000000e+06,-9.612500000000000000e+01,-1.086561999999999983e+02
6.968581000000000000e+06,-8.915625000000000000e+01,-1.076561999999999983e+02
6.968824000000000000e+06,-9.212500000000000000e+01,-1.136561999999999983e+02
6.969066000000000000e+06,-9.565625000000000000e+01,-1.066561999999999983e+02
6.969308000000000000e+06,-9.362500000000000000e+01,-1.081561999999999983e+02
6.969550000000000000e+06,-9.115625000000000000e+01,-1.061561999999999983e+02
6.969792000000000000e+06,-8.962500000000000000e+01,-1.091561999999999983e+02
6.970035000000000000e+06,-9.262500000000000000e+01,-1.146561999999999983e+02
6.970277000000000000e+06,-8.862500000000000000e+01,-1.091561999999999983e+02
6.970519000000000000e+06,-9.415625000000000000e+01,-1.091561999999999983e+02
6.970761000000000000e+06,-9.612500000000000000e+01,-1.091561999999999983e+02
